"FileName","Coverage","Source","SRR_Illumina","SRR_Nanopore","StrainName","StandardizedName","GeographicOrigin","EcoOrigin","Country","Continent","PositionOnTree","Clade","SubClade"
"/ccc/store/cont007/fg0006/fg0006/rawdata/projet_BCM/AAA/RunsSolexa/130514_SOUFRE_C2420ACXX/BCM_AAAOSW_6_1_C2420ACXX.IND1_clean.fastq.gz",217.5,"1011","ERR1309487","","RM11-1a","AAA","California_USA","Wine","USA","North America",193,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/projet_BCM/AAB/RunsSolexa/130514_SOUFRE_C2420ACXX/BCM_AABOSW_6_1_C2420ACXX.IND2_clean.fastq.gz",205.91,"1011","ERR1308784","","CBS422a","AAB","Odessa_Ukraine","Beer","Ukraine","Europe",1038,"8. Belgium Beer",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/projet_BCM/AAC/RunsSolexa/130514_SOUFRE_C2420ACXX/BCM_AACOSW_6_1_C2420ACXX.IND3_clean.fastq.gz",270.71,"1011","ERR1309038","","CBS2165a","AAC","England","Beer","United Kingdom","Europe",1213,"10. UK Beer",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/projet_BCM/AAD/RunsSolexa/130514_SOUFRE_C2420ACXX/BCM_AADOSW_6_1_C2420ACXX.IND4_clean.fastq.gz",205.23,"1011","ERR1308805","","CBS436a","AAD","Japan","Sake","Japan","Asia",1974,"18. Asian Fermentation","18.4 Sake"
"/ccc/store/cont007/fg0006/fg0006/rawdata/projet_BCM/AAE/RunsSolexa/130514_SOUFRE_C2420ACXX/BCM_AAEOSW_6_1_C2420ACXX.IND5_clean.fastq.gz",227.87,"1011","ERR1309410","","CBS2806a","AAE","Slovakia","Wine","Slovakia","Europe",779,"1. Wine","1.8 Georgian Wine"
"/ccc/store/cont007/fg0006/fg0006/rawdata/projet_BCM/AAG/RunsSolexa/130514_SOUFRE_C2420ACXX/BCM_AAGOSW_6_1_C2420ACXX.IND7_clean.fastq.gz",212.53,"1011","ERR1308974","","CBS428a","AAG",NA,NA,NA,NA,1748,"16. USA Clinical 1",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/projet_BCM/AAH/RunsSolexa/130514_SOUFRE_C2420ACXX/BCM_AAHOSW_6_1_C2420ACXX.IND8_clean.fastq.gz",264.18,"1011","ERR1309088","","CBS1388a","AAH",NA,NA,NA,NA,1125,NA,NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/projet_BCM/AAI/RunsSolexa/130514_SOUFRE_C2420ACXX/BCM_AAIOSW_6_1_C2420ACXX.IND9_clean.fastq.gz",242.7,"1011","ERR1309457","","CBS2966a","AAI","Denmark","Distillery","Denmark","Europe",70,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/projet_BCM/AAK/RunsSolexa/130514_SOUFRE_C2420ACXX/BCM_AAKOSW_6_1_C2420ACXX.IND10_clean.fastq.gz",266.68,"1011","ERR1308664","","CBS4093a","AAK","Spain","Wine","Spain","Europe",733,"1. Wine","1.8 Georgian Wine"
"/ccc/store/cont007/fg0006/fg0006/rawdata/projet_BCM/AAL/RunsSolexa/130725_FLUOR_D2BT6ACXX/BCM_AALOSW_3_1_D2BT6ACXX.IND1_clean.fastq.gz",188.19,"1011","ERR1309297","","CBS1236-a","AAL","France","Bakery","France","Europe",1267,"11. Mixed Origins",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/projet_BCM/AAM/RunsSolexa/130725_FLUOR_D2BT6ACXX/BCM_AAMOSW_3_1_D2BT6ACXX.IND7_clean.fastq.gz",188.01,"1011","ERR1308737","","CLIB192_1b","AAM","France","Bakery","France","Europe",1268,"11. Mixed Origins",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/projet_BCM/AAN/RunsSolexa/130725_FLUOR_D2BT6ACXX/BCM_AANOSW_3_1_D2BT6ACXX.IND8_clean.fastq.gz",188.91,"1011","ERR1308608","","CLIB274_1","AAN","Czech Republic","Bakery","Czech Republic","Czech Republic",1353,"11. Mixed Origins",NA
